COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,BFICat,BFIWs
5423989,2.1051,2.1051,100.0,100.0,56.7093,56.7093
5595970,3.8151,393.3963,100.0,100.0,39.0,44.7188
5423731,1.9215,1.9215,100.0,100.0,55.0,55.0
5424137,0.0234,2.9511,100.0,100.0,56.1923,56.3019
5597292,0.7902,781.9596,100.0,100.0,39.0,44.3803
5423029,1.6209,12.0807,100.0,100.0,52.2088,55.6529
5597442,0.1485,491.8338,100.0,100.0,39.7152,44.9455
5423721,0.0666,9.8586,100.0,100.0,54.0,54.9026
5428629,0.5895,1.9728,100.0,100.0,55.0,54.7126
5595974,0.2601,357.6285,100.0,100.0,40.0,45.2654
5596014,1.3176,410.9895,100.0,100.0,39.0,44.4741
5425721,6.0678,6.0678,100.0,100.0,53.0,53.0
5596072,0.7533,292.8222,100.0,100.0,39.2103,45.5932
5424635,4.0212,4.0212,100.0,100.0,55.0,55.0
5597024,1.1907,2535.1137,100.0,100.0,44.0,42.9435
5598910,0.5913,54.9936,100.0,100.0,48.0,48.0921
5597544,1.8171,461.8026,100.0,100.0,40.0,45.2671
5423113,2.2563,27.0315,100.0,100.0,57.0,57.1879
5599024,0.3807,13.0455,100.0,100.0,48.0,48.0327
5424185,0.5283,3.2796,100.0,100.0,54.8007,54.7094
5598492,7.4232,7.4232,100.0,100.0,47.0,47.0
5425735,0.6129,0.6129,100.0,100.0,56.6828,56.6828
5423291,3.3084,3.3084,100.0,100.0,56.9423,56.9423
5422889,0.1053,6.6933,100.0,100.0,58.0,57.8581
5597622,0.0405,416.2905,100.0,100.0,40.0,45.8295
5425697,3.321,3.321,100.0,100.0,53.187,53.187
5595840,11.4408,78.921,100.0,100.0,39.0628,41.6768
5424703,1.7082,1.7082,100.0,100.0,54.5822,54.5822
5597404,0.0972,728.1459,100.0,100.0,40.0,44.7595
5422183,2.1321,2.1321,100.0,100.0,60.539,60.539
5428615,2.1735,2.1735,100.0,100.0,41.8936,41.8936
5422911,4.8231,11.7747,100.0,100.0,53.0084,51.9054
5424147,0.1386,2.2599,100.0,100.0,55.0,55.54
5424705,0.7245,4.8636,100.0,100.0,52.7553,54.2178
5424079,0.0468,4.293,100.0,100.0,58.0,58.0
5596960,0.6021,2575.2672,100.0,100.0,48.6667,42.9708
5422263,2.0907,9.936,100.0,100.0,58.0,58.0
5424069,0.1899,11.5857,100.0,100.0,37.3886,37.0064
5423075,1.9341,1.9341,100.0,100.0,56.0349,56.0349
5598170,4.1553,4.1553,100.0,100.0,48.0,48.0
5424863,1.4094,1.4094,100.0,100.0,47.0409,47.0409
5422741,1.521,1.521,100.0,100.0,37.0361,37.0361
5423037,2.2932,2.2932,100.0,100.0,54.239,54.239
5423065,0.1809,3.024,100.0,100.0,57.0,57.6964
5422901,1.6776,1.6776,100.0,100.0,57.9936,57.9936
5595766,3.2112,295.623,100.0,100.0,39.0,39.6616
5598780,1.1583,1.1583,100.0,100.0,43.425,43.425
5596402,0.5328,245.3508,100.0,100.0,44.0,47.0859
5428623,0.0945,5.5242,100.0,100.0,48.4857,47.0298
5424161,0.1449,0.9153,100.0,100.0,57.0,57.0
5423741,1.6884,1.6884,100.0,100.0,52.2292,52.2292
5595918,0.3969,3.924,100.0,100.0,39.9456,42.0326
5424123,0.027,1.4202,100.0,100.0,57.2667,56.9081
5423303,1.4337,1.4337,100.0,100.0,57.9366,57.9366
5423581,0.0702,11.9439,100.0,100.0,58.0,55.4973
5423945,1.6857,1.6857,100.0,100.0,41.0123,41.0123
5596006,4.3596,363.1968,100.0,100.0,39.6676,45.1793
5423523,1.1052,1.1052,100.0,100.0,55.0,55.0
5424827,1.8963,1.8963,100.0,100.0,53.0,53.0
5423145,0.5211,21.3633,100.0,100.0,57.0,57.1032
5424581,1.3833,1.3833,100.0,100.0,54.5901,54.5901
5597006,1.2897,1.2897,100.0,100.0,38.0,38.0
5598942,5.49,5.49,100.0,100.0,46.0,46.0
5597366,1.1034,740.1582,100.0,100.0,39.9976,44.6823
5425763,0.0297,4.0509,100.0,100.0,55.0,55.0
5596604,5.0508,295.47,100.0,100.0,40.0,46.4226
5424723,0.9486,0.9486,100.0,100.0,55.0,55.0
5422859,3.7386,3.7386,100.0,100.0,54.9562,54.9562
5423551,2.2689,2.2689,100.0,100.0,55.0,55.0
5424567,0.1107,26.2179,100.0,100.0,41.0,45.028
5424285,0.324,1.4895,100.0,100.0,61.0,60.7353
5423647,0.72,1.5939,100.0,100.0,58.81,58.9136
5423745,1.5687,1.5687,100.0,100.0,46.8485,46.8485
5424001,1.8153,1.8153,100.0,100.0,54.9375,54.9375
5424591,0.621,1.3104,100.0,100.0,55.0,55.0
5424997,4.0374,4.0374,100.0,100.0,42.0,42.0
5597060,0.3519,2528.0154,100.0,100.0,44.0,42.9438
5423239,1.5876,1.5876,100.0,100.0,56.3492,56.3492
5597032,0.4284,477.27,100.0,100.0,38.0,39.1278
5601516,0.0378,1.2843,100.0,100.0,48.0,47.4142
5596728,0.0495,42.8499,100.0,100.0,45.6909,46.8112
5596284,0.0306,162.9531,100.0,100.0,47.0,47.6241
5596882,1.4292,2597.7483,100.0,100.0,48.7846,43.0196
5595688,0.0099,9.3951,100.0,100.0,38.0,37.8257
5596954,1.0728,1.0728,100.0,100.0,42.0,42.0
5597108,2.0745,541.2339,100.0,100.0,39.0,38.9801
5595698,1.4418,1.4418,100.0,100.0,37.7971,37.7971
5595932,0.8388,11.3427,100.0,100.0,43.8165,43.9864
5597158,3.2067,1925.8056,100.0,100.0,38.8552,42.6902
5423907,1.0098,1.0098,100.0,100.0,59.6381,59.6381
5595754,1.2969,325.3023,100.0,100.0,38.0791,39.5909
5595888,2.3085,2.3085,100.0,100.0,39.0,39.0
5598290,5.8671,22.1895,100.0,100.0,48.0,48.0
5596884,0.1116,2595.2949,100.0,100.0,49.0,43.014
5423137,1.3572,1.4067,100.0,100.0,56.3481,56.3359
5596880,1.9863,12.9717,100.0,100.0,38.0,37.574
5597558,0.2313,447.9885,100.0,100.0,40.0,45.4242
5597554,0.0495,455.0499,100.0,100.0,40.0,45.3445
5424661,1.2726,1.2726,100.0,100.0,52.0,52.0
5596128,8.5482,8.5482,100.0,100.0,48.5251,48.5251
5597406,0.7722,500.8374,100.0,100.0,39.0629,44.8461
5597764,1.665,1.665,100.0,100.0,42.0,42.0
5596226,1.5066,1.5066,100.0,100.0,44.0,44.0
5596586,0.2772,8.9163,100.0,100.0,38.0,37.6201
5425217,1.6344,1.6344,100.0,100.0,59.0,59.0
5424121,0.5814,57.5559,100.0,100.0,57.404,57.1706
5423891,1.6245,1.6245,100.0,100.0,58.0,58.0
5598230,4.8564,109.0179,100.0,100.0,47.0,47.0
5596312,3.2067,36.5805,100.0,100.0,40.9691,44.0257
5596632,0.3906,4.2975,100.0,100.0,39.0,39.0021
5596986,1.8216,5.1453,100.0,100.0,38.0,38.0
5596200,5.2551,228.906,100.0,100.0,42.5792,47.0189
5597038,0.0234,481.8456,100.0,100.0,38.0,39.1171
5597018,1.2375,1.2375,100.0,100.0,42.0,42.0
5595728,3.8709,30.8151,100.0,100.0,38.0,38.0087
5597144,0.513,1929.4317,100.0,100.0,39.0,42.6835
5598758,0.6192,281.1276,100.0,100.0,42.0,46.7562
5424907,3.0285,3.0285,100.0,100.0,53.0912,53.0912
5422763,0.1827,2.745,100.0,100.0,58.0,58.3613
5597186,2.8809,1897.8327,100.0,100.0,39.0,42.7532
